_id,timeStampID,rssiLVNGRM,rssiBDRM,rssiKTCHN
ObjectId(61ab8bc0a3245215261db959),1636652700,-100,-100,-100
ObjectId(61ab8bc0a3245215261db95a),1636652760,-100,-100,-100
ObjectId(61ab8bc0a3245215261db95b),1636652820,-100,-100,-100
ObjectId(61ab8bc0a3245215261db95c),1636652880,-100,-100,-100
ObjectId(61ab8bc0a3245215261db95d),1636652940,-100,-100,-100
ObjectId(61ab8bc0a3245215261db95e),1636653000,-100,-100,-100
ObjectId(61ab8bc0a3245215261db95f),1636653060,-100,-100,-100
ObjectId(61ab8bc0a3245215261db960),1636653120,-100,-100,-100
ObjectId(61ab8bc0a3245215261db961),1636653180,-100,-100,-100
ObjectId(61ab8bc1a3245215261db962),1636653240,-100,-100,-100
ObjectId(61ab8bc1a3245215261db963),1636653300,-100,-100,-100
ObjectId(61ab8bc1a3245215261db964),1636653360,-100,-100,-100
ObjectId(61ab8bc1a3245215261db965),1636653420,-100,-100,-100
ObjectId(61ab8bc1a3245215261db966),1636653480,-100,-100,-100
ObjectId(61ab8bc1a3245215261db967),1636653540,-100,-100,-100
ObjectId(61ab8bc1a3245215261db968),1636653600,-100,-100,-100
ObjectId(61ab8bc1a3245215261db969),1636653660,-100,-100,-100
ObjectId(61ab8bc1a3245215261db96a),1636653720,-100,-100,-100
ObjectId(61ab8bc1a3245215261db96b),1636653780,-100,-100,-100
ObjectId(61ab8bc1a3245215261db96c),1636653840,-100,-100,-100
ObjectId(61ab8bc1a3245215261db96d),1636653900,-100,-100,-100
ObjectId(61ab8bc1a3245215261db96e),1636653960,-100,-100,-100
ObjectId(61ab8bc1a3245215261db96f),1636654020,-100,-100,-100
ObjectId(61ab8bc1a3245215261db970),1636654080,-100,-100,-100
ObjectId(61ab8bc1a3245215261db971),1636654140,-100,-100,-100
ObjectId(61ab8bc1a3245215261db972),1636654200,-100,-100,-100
ObjectId(61ab8bc1a3245215261db973),1636654260,-100,-100,-100
ObjectId(61ab8bc1a3245215261db974),1636654320,-100,-100,-100
ObjectId(61ab8bc1a3245215261db975),1636654380,-100,-100,-100
ObjectId(61ab8bc1a3245215261db976),1636654440,-100,-100,-100
ObjectId(61ab8bc1a3245215261db977),1636654500,-100,-100,-100
ObjectId(61ab8bc1a3245215261db978),1636654560,-100,-100,-100
ObjectId(61ab8bc1a3245215261db979),1636654620,-100,-100,-100
ObjectId(61ab8bc1a3245215261db97a),1636654680,-100,-100,-100
ObjectId(61ab8bc1a3245215261db97b),1636654740,-100,-100,-100
ObjectId(61ab8bc1a3245215261db97c),1636654800,-100,-100,-100
ObjectId(61ab8bc1a3245215261db97d),1636654860,-100,-100,-100
ObjectId(61ab8bc1a3245215261db97e),1636654920,-100,-100,-100
ObjectId(61ab8bc1a3245215261db97f),1636654980,-100,-100,-100
ObjectId(61ab8bc1a3245215261db980),1636655040,-100,-100,-100
ObjectId(61ab8bc1a3245215261db981),1636655100,-100,-100,-100
ObjectId(61ab8bc1a3245215261db982),1636655160,-100,-100,-100
ObjectId(61ab8bc1a3245215261db983),1636655220,-100,-100,-100
